Messgeraet: Beispiel Potentiostat
Messmethode: DCR
Slewrate: 10 mV/s

Number	Time[s]	U[V]	I[A]
1	0.00	-0.150000	-0.102014
2	0.10	-0.148997	-0.100321
3	0.20	-0.147993	-0.100014
4	0.30	-0.146990	-0.098904
5	0.40	-0.145987	-0.098335
6	0.50	-0.144983	-0.097728
7	0.60	-0.143980	-0.097298
8	0.70	-0.142977	-0.096137
9	0.80	-0.141973	-0.096579
10	0.90	-0.140970	-0.095695
11	1.00	-0.139967	-0.094265
12	1.10	-0.138963	-0.094204
13	1.20	-0.137960	-0.093086
14	1.30	-0.136957	-0.092581
15	1.40	-0.135953	-0.091811
16	1.50	-0.134950	-0.091302
17	1.60	-0.133946	-0.090111
18	1.70	-0.132943	-0.090097
19	1.80	-0.131940	-0.088824
20	1.90	-0.130936	-0.088837
21	2.00	-0.129933	-0.088190
22	2.10	-0.128930	-0.087722
23	2.20	-0.127926	-0.086929
24	2.30	-0.126923	-0.086368
25	2.40	-0.125920	-0.085024
26	2.50	-0.124916	-0.083983
27	2.60	-0.123913	-0.084229
28	2.70	-0.122910	-0.083501
29	2.80	-0.121906	-0.082394
30	2.90	-0.120903	-0.081332
31	3.00	-0.119900	-0.080251
32	3.10	-0.118896	-0.080296
33	3.20	-0.117893	-0.080005
34	3.30	-0.116890	-0.079619
35	3.40	-0.115886	-0.078791
36	3.50	-0.114883	-0.078060
37	3.60	-0.113880	-0.077459
38	3.70	-0.112876	-0.077045
39	3.80	-0.111873	-0.075535
40	3.90	-0.110870	-0.075273
41	4.00	-0.109866	-0.073475
42	4.10	-0.108863	-0.073471
43	4.20	-0.107860	-0.072562
44	4.30	-0.106856	-0.072798
45	4.40	-0.105853	-0.070933
46	4.50	-0.104849	-0.070859
47	4.60	-0.103846	-0.069570
48	4.70	-0.102843	-0.069370
49	4.80	-0.101839	-0.068859
50	4.90	-0.100836	-0.068228
51	5.00	-0.099833	-0.067960
52	5.10	-0.098829	-0.067494
53	5.20	-0.097826	-0.065393
54	5.30	-0.096823	-0.065456
55	5.40	-0.095819	-0.064227
56	5.50	-0.094816	-0.064224
57	5.60	-0.093813	-0.064068
58	5.70	-0.092809	-0.062502
59	5.80	-0.091806	-0.062745
60	5.90	-0.090803	-0.061914
61	6.00	-0.089799	-0.060575
62	6.10	-0.088796	-0.060311
63	6.20	-0.087793	-0.058529
64	6.30	-0.086789	-0.059252
65	6.40	-0.085786	-0.057540
66	6.50	-0.084783	-0.057115
67	6.60	-0.083779	-0.056142
68	6.70	-0.082776	-0.056369
69	6.80	-0.081773	-0.055216
70	6.90	-0.080769	-0.054653
71	7.00	-0.079766	-0.053988
72	7.10	-0.078763	-0.052642
73	7.20	-0.077759	-0.051756
74	7.30	-0.076756	-0.052173
75	7.40	-0.075753	-0.050990
76	7.50	-0.074749	-0.050331
77	7.60	-0.073746	-0.049444
78	7.70	-0.072742	-0.048434
79	7.80	-0.071739	-0.048940
80	7.90	-0.070736	-0.048257
81	8.00	-0.069732	-0.046860
82	8.10	-0.068729	-0.046987
83	8.20	-0.067726	-0.046283
84	8.30	-0.066722	-0.045763
85	8.40	-0.065719	-0.045200
86	8.50	-0.064716	-0.043806
87	8.60	-0.063712	-0.042899
88	8.70	-0.062709	-0.042705
89	8.80	-0.061706	-0.042123
90	8.90	-0.060702	-0.040684
91	9.00	-0.059699	-0.040012
92	9.10	-0.058696	-0.039733
93	9.20	-0.057692	-0.038681
94	9.30	-0.056689	-0.037625
95	9.40	-0.055686	-0.037165
96	9.50	-0.054682	-0.036747
97	9.60	-0.053679	-0.036012
98	9.70	-0.052676	-0.034898
99	9.80	-0.051672	-0.035033
100	9.90	-0.050669	-0.034164
101	10.00	-0.049666	-0.033322
102	10.10	-0.048662	-0.032226
103	10.20	-0.047659	-0.031679
104	10.30	-0.046656	-0.032210
105	10.40	-0.045652	-0.031381
106	10.50	-0.044649	-0.030476
107	10.60	-0.043645	-0.029092
108	10.70	-0.042642	-0.028702
109	10.80	-0.041639	-0.028473
110	10.90	-0.040635	-0.028057
111	11.00	-0.039632	-0.026477
112	11.10	-0.038629	-0.025781
113	11.20	-0.037625	-0.024714
114	11.30	-0.036622	-0.024744
115	11.40	-0.035619	-0.024077
116	11.50	-0.034615	-0.024060
117	11.60	-0.033612	-0.023447
118	11.70	-0.032609	-0.022142
119	11.80	-0.031605	-0.021639
120	11.90	-0.030602	-0.021076
121	12.00	-0.029599	-0.020653
122	12.10	-0.028595	-0.018582
123	12.20	-0.027592	-0.018106
124	12.30	-0.026589	-0.017845
125	12.40	-0.025585	-0.016566
126	12.50	-0.024582	-0.015810
127	12.60	-0.023579	-0.015656
128	12.70	-0.022575	-0.015622
129	12.80	-0.021572	-0.015311
130	12.90	-0.020569	-0.013488
131	13.00	-0.019565	-0.013267
132	13.10	-0.018562	-0.012299
133	13.20	-0.017559	-0.011198
134	13.30	-0.016555	-0.011696
135	13.40	-0.015552	-0.010371
136	13.50	-0.014548	-0.009614
137	13.60	-0.013545	-0.009165
138	13.70	-0.012542	-0.009128
139	13.80	-0.011538	-0.008040
140	13.90	-0.010535	-0.007385
141	14.00	-0.009532	-0.006168
142	14.10	-0.008528	-0.005190
143	14.20	-0.007525	-0.005357
144	14.30	-0.006522	-0.004097
145	14.40	-0.005518	-0.004067
146	14.50	-0.004515	-0.002338
147	14.60	-0.003512	-0.001871
148	14.70	-0.002508	-0.001615
149	14.80	-0.001505	-0.001089
150	14.90	-0.000502	-0.000636
151	15.00	0.000502	0.000056
152	15.10	0.001505	0.001769
153	15.20	0.002508	0.001542
154	15.30	0.003512	0.002396
155	15.40	0.004515	0.003832
156	15.50	0.005518	0.003981
157	15.60	0.006522	0.004475
158	15.70	0.007525	0.004946
159	15.80	0.008528	0.005263
160	15.90	0.009532	0.006219
161	16.00	0.010535	0.007529
162	16.10	0.011538	0.007997
163	16.20	0.012542	0.008890
164	16.30	0.013545	0.008678
165	16.40	0.014548	0.009909
166	16.50	0.015552	0.011192
167	16.60	0.016555	0.011087
168	16.70	0.017559	0.012181
169	16.80	0.018562	0.011936
170	16.90	0.019565	0.013977
171	17.00	0.020569	0.014072
172	17.10	0.021572	0.014158
173	17.20	0.022575	0.014707
174	17.30	0.023579	0.016013
175	17.40	0.024582	0.016693
176	17.50	0.025585	0.016636
177	17.60	0.026589	0.018753
178	17.70	0.027592	0.019304
179	17.80	0.028595	0.019259
180	17.90	0.029599	0.019387
181	18.00	0.030602	0.021208
182	18.10	0.031605	0.021352
183	18.20	0.032609	0.022379
184	18.30	0.033612	0.022725
185	18.40	0.034615	0.023026
186	18.50	0.035619	0.024602
187	18.60	0.036622	0.025513
188	18.70	0.037625	0.025013
189	18.80	0.038629	0.026183
190	18.90	0.039632	0.026592
191	19.00	0.040635	0.028131
192	19.10	0.041639	0.028148
193	19.20	0.042642	0.029419
194	19.30	0.043645	0.030073
195	19.40	0.044649	0.029810
196	19.50	0.045652	0.031310
197	19.60	0.046656	0.031388
198	19.70	0.047659	0.032897
199	19.80	0.048662	0.032892
200	19.90	0.049666	0.034071
201	20.00	0.050669	0.033888
202	20.10	0.051672	0.034591
203	20.20	0.052676	0.035731
204	20.30	0.053679	0.037068
205	20.40	0.054682	0.036931
206	20.50	0.055686	0.037063
207	20.60	0.056689	0.038365
208	20.70	0.057692	0.038733
209	20.80	0.058696	0.039742
210	20.90	0.059699	0.040407
211	21.00	0.060702	0.040944
212	21.10	0.061706	0.041408
213	21.20	0.062709	0.041873
214	21.30	0.063712	0.043365
215	21.40	0.064716	0.043842
216	21.50	0.065719	0.043978
217	21.60	0.066722	0.045524
218	21.70	0.067726	0.045030
219	21.80	0.068729	0.046830
220	21.90	0.069732	0.047445
221	22.00	0.070736	0.048293
222	22.10	0.071739	0.048290
223	22.20	0.072742	0.049412
224	22.30	0.073746	0.050341
225	22.40	0.074749	0.051276
226	22.50	0.075753	0.051177
227	22.60	0.076756	0.051121
228	22.70	0.077759	0.052544
229	22.80	0.078763	0.053362
230	22.90	0.079766	0.054487
231	23.00	0.080769	0.055173
232	23.10	0.081773	0.055156
233	23.20	0.082776	0.055971
234	23.30	0.083779	0.056539
235	23.40	0.084783	0.057641
236	23.50	0.085786	0.057819
237	23.60	0.086789	0.058889
238	23.70	0.087793	0.058766
239	23.80	0.088796	0.059948
240	23.90	0.089799	0.061426
241	24.00	0.090803	0.061095
242	24.10	0.091806	0.062339
243	24.20	0.092809	0.062949
244	24.30	0.093813	0.063950
245	24.40	0.094816	0.064629
246	24.50	0.095819	0.065318
247	24.60	0.096823	0.065229
248	24.70	0.097826	0.065805
249	24.80	0.098829	0.067127
250	24.90	0.099833	0.067870
251	25.00	0.100836	0.068728
252	25.10	0.101839	0.068068
253	25.20	0.102843	0.068798
254	25.30	0.103846	0.070376
255	25.40	0.104849	0.071518
256	25.50	0.105853	0.072318
257	25.60	0.106856	0.072595
258	25.70	0.107860	0.072772
259	25.80	0.108863	0.072914
260	25.90	0.109866	0.074448
261	26.00	0.110870	0.075508
262	26.10	0.111873	0.075500
263	26.20	0.112876	0.076578
264	26.30	0.113880	0.077591
265	26.40	0.114883	0.076897
266	26.50	0.115886	0.078775
267	26.60	0.116890	0.078649
268	26.70	0.117893	0.079457
269	26.80	0.118896	0.079768
270	26.90	0.119900	0.081063
271	27.00	0.120903	0.081797
272	27.10	0.121906	0.082837
273	27.20	0.122910	0.082519
274	27.30	0.123913	0.083051
275	27.40	0.124916	0.084996
276	27.50	0.125920	0.085272
277	27.60	0.126923	0.085344
278	27.70	0.127926	0.087097
279	27.80	0.128930	0.086544
280	27.90	0.129933	0.087730
281	28.00	0.130936	0.088077
282	28.10	0.131940	0.088757
283	28.20	0.132943	0.089041
284	28.30	0.133946	0.090992
285	28.40	0.134950	0.091824
286	28.50	0.135953	0.092144
287	28.60	0.136957	0.091991
288	28.70	0.137960	0.093123
289	28.80	0.138963	0.093647
290	28.90	0.139967	0.094712
291	29.00	0.140970	0.095472
292	29.10	0.141973	0.095807
293	29.20	0.142977	0.096206
294	29.30	0.143980	0.097836
295	29.40	0.144983	0.097480
296	29.50	0.145987	0.098455
297	29.60	0.146990	0.099291
298	29.70	0.147993	0.099575
299	29.80	0.148997	0.100788
300	29.90	0.150000	0.101471
