EIS Beispielmessung
Number	Frequency[Hz]	Impedance[Ohm]	Phase[deg]
1	1.000000e+04	4.712202e-04	-1.291001e+01
2	7.443803e+03	4.874020e-04	-1.676086e+01
3	5.541020e+03	5.148537e-04	-2.126547e+01
4	4.124626e+03	5.596578e-04	-2.606876e+01
5	3.070291e+03	6.288799e-04	-3.049305e+01
6	2.285464e+03	7.284054e-04	-3.366794e+01
7	1.701254e+03	8.593227e-04	-3.484959e+01
8	1.266380e+03	1.014087e-03	-3.374084e+01
9	9.426685e+02	1.175552e-03	-3.062080e+01
10	7.017038e+02	1.322380e-03	-2.622317e+01
11	5.223345e+02	1.438950e-03	-2.141989e+01
12	3.888155e+02	1.521238e-03	-1.689824e+01
13	2.894266e+02	1.574363e-03	-1.302359e+01
14	2.154435e+02	1.606633e-03	-9.892010e+00
15	1.603719e+02	1.625497e-03	-7.448438e+00
16	1.193777e+02	1.636272e-03	-5.580401e+00
17	8.886238e+01	1.642346e-03	-4.168964e+00
18	6.614741e+01	1.645744e-03	-3.109539e+00
19	4.923883e+01	1.647637e-03	-2.317266e+00
20	3.665241e+01	1.648690e-03	-1.725997e+00
21	2.728333e+01	1.649273e-03	-1.285240e+00
22	2.030918e+01	1.649597e-03	-9.568894e-01
23	1.511775e+01	1.649777e-03	-7.123649e-01
24	1.125336e+01	1.649876e-03	-5.303014e-01
25	8.376776e+00	1.649931e-03	-3.947587e-01
26	6.235507e+00	1.649962e-03	-2.938559e-01
27	4.641589e+00	1.649979e-03	-2.187427e-01
28	3.455107e+00	1.649988e-03	-1.628287e-01
29	2.571914e+00	1.649994e-03	-1.212068e-01
30	1.914482e+00	1.649996e-03	-9.022412e-02
31	1.425103e+00	1.649998e-03	-6.716112e-02
32	1.060818e+00	1.649999e-03	-4.999344e-02
33	7.896523e-01	1.649999e-03	-3.721415e-02
34	5.878016e-01	1.650000e-03	-2.770148e-02
35	4.375479e-01	1.650000e-03	-2.062044e-02
36	3.257021e-01	1.650000e-03	-1.534945e-02
37	2.424462e-01	1.650000e-03	-1.142583e-02
38	1.804722e-01	1.650000e-03	-8.505161e-03
39	1.343399e-01	1.650000e-03	-6.331075e-03
40	1.000000e-01	1.650000e-03	-4.712727e-03
