EIS Beispielmessung (CSV)
Frequency,Impedance,Phase,Extra1,Extra2,Extra3,Extra4
[Hz],[Ohm],[rad],,,,
1.000000e+04,4.423987e-04,-2.401125e-01,0,0,0,0
7.443803e+03,4.593756e-04,-3.105622e-01,0,0,0,0
5.541020e+03,4.879944e-04,-3.917537e-01,0,0,0,0
4.124626e+03,5.342784e-04,-4.763454e-01,0,0,0,0
3.070291e+03,6.049319e-04,-5.514901e-01,0,0,0,0
2.285464e+03,7.050511e-04,-6.018801e-01,0,0,0,0
1.701254e+03,8.345753e-04,-6.156106e-01,0,0,0,0
1.266380e+03,9.848521e-04,-5.892569e-01,0,0,0,0
9.426685e+02,1.138454e-03,-5.293293e-01,0,0,0,0
7.017038e+02,1.275251e-03,-4.494962e-01,0,0,0,0
5.223345e+02,1.381828e-03,-3.648371e-01,0,0,0,0
3.888155e+02,1.455943e-03,-2.865704e-01,0,0,0,0
2.894266e+02,1.503289e-03,-2.202509e-01,0,0,0,0
2.154435e+02,1.531852e-03,-1.670117e-01,0,0,0,0
1.603719e+02,1.548478e-03,-1.256336e-01,0,0,0,0
1.193777e+02,1.557953e-03,-9.407317e-02,0,0,0,0
8.886238e+01,1.563287e-03,-7.025760e-02,0,0,0,0
6.614741e+01,1.566269e-03,-5.239448e-02,0,0,0,0
4.923883e+01,1.567929e-03,-3.904122e-02,0,0,0,0
3.665241e+01,1.568851e-03,-2.907796e-02,0,0,0,0
2.728333e+01,1.569363e-03,-2.165186e-02,0,0,0,0
2.030918e+01,1.569647e-03,-1.612002e-02,0,0,0,0
1.511775e+01,1.569804e-03,-1.200058e-02,0,0,0,0
1.125336e+01,1.569892e-03,-8.933474e-03,0,0,0,0
8.376776e+00,1.569940e-03,-6.650099e-03,0,0,0,0
6.235507e+00,1.569967e-03,-4.950284e-03,0,0,0,0
4.641589e+00,1.569982e-03,-3.684927e-03,0,0,0,0
3.455107e+00,1.569990e-03,-2.743001e-03,0,0,0,0
2.571914e+00,1.569994e-03,-2.041842e-03,0,0,0,0
1.914482e+00,1.569997e-03,-1.519909e-03,0,0,0,0
1.425103e+00,1.569998e-03,-1.131391e-03,0,0,0,0
1.060818e+00,1.569999e-03,-8.421858e-04,0,0,0,0
7.896523e-01,1.569999e-03,-6.269067e-04,0,0,0,0
5.878016e-01,1.570000e-03,-4.666571e-04,0,0,0,0
4.375479e-01,1.570000e-03,-3.473704e-04,0,0,0,0
3.257021e-01,1.570000e-03,-2.585757e-04,0,0,0,0
2.424462e-01,1.570000e-03,-1.924786e-04,0,0,0,0
1.804722e-01,1.570000e-03,-1.432773e-04,0,0,0,0
1.343399e-01,1.570000e-03,-1.066528e-04,0,0,0,0
1.000000e-01,1.570000e-03,-7.939025e-05,0,0,0,0
