OCV-FallOff Beispielmessung
Index,c2,c3,c4,c5,c6,Voltage,c8
1,0,0,0,0,0,0.04290,0
2,0,0,0,0,0,0.04725,0
3,0,0,0,0,0,0.03583,0
4,0,0,0,0,0,0.04437,0
5,0,0,0,0,0,0.04021,0
6,0,0,0,0,0,0.04242,0
7,0,0,0,0,0,0.03506,0
8,0,0,0,0,0,0.04440,0
9,0,0,0,0,0,0.04236,0
10,0,0,0,0,0,0.03988,0
11,0,0,0,0,0,0.04194,0
12,0,0,0,0,0,0.03770,0
13,0,0,0,0,0,0.03826,0
14,0,0,0,0,0,0.03861,0
15,0,0,0,0,0,0.03444,0
16,0,0,0,0,0,0.04259,0
17,0,0,0,0,0,0.04357,0
18,0,0,0,0,0,0.03790,0
19,0,0,0,0,0,0.04104,0
20,0,0,0,0,0,0.03920,0
21,0,0,0,0,0,0.04098,0
22,0,0,0,0,0,0.03812,0
23,0,0,0,0,0,0.03735,0
24,0,0,0,0,0,0.04316,0
25,0,0,0,0,0,0.03981,0
26,0,0,0,0,0,0.04607,0
27,0,0,0,0,0,0.04014,0
28,0,0,0,0,0,0.03722,0
29,0,0,0,0,0,0.04368,0
30,0,0,0,0,0,0.04189,0
31,0,0,0,0,0,0.04218,0
32,0,0,0,0,0,0.04357,0
33,0,0,0,0,0,0.03804,0
34,0,0,0,0,0,0.03962,0
35,0,0,0,0,0,0.03949,0
36,0,0,0,0,0,0.03613,0
37,0,0,0,0,0,0.03921,0
38,0,0,0,0,0,0.04401,0
39,0,0,0,0,0,0.04071,0
40,0,0,0,0,0,0.03596,0
41,0,0,0,0,0,0.03533,0
42,0,0,0,0,0,0.04499,0
43,0,0,0,0,0,0.03973,0
44,0,0,0,0,0,0.03806,0
45,0,0,0,0,0,0.03918,0
46,0,0,0,0,0,0.03557,0
47,0,0,0,0,0,0.04427,0
48,0,0,0,0,0,0.03882,0
49,0,0,0,0,0,0.04410,0
50,0,0,0,0,0,0.04015,0
51,0,0,0,0,0,0.04429,0
52,0,0,0,0,0,0.04077,0
53,0,0,0,0,0,0.04256,0
54,0,0,0,0,0,0.04216,0
55,0,0,0,0,0,0.04187,0
56,0,0,0,0,0,0.04104,0
57,0,0,0,0,0,0.03930,0
58,0,0,0,0,0,0.04575,0
59,0,0,0,0,0,0.03728,0
60,0,0,0,0,0,0.04001,0
61,0,0,0,0,0,0.04004,0
62,0,0,0,0,0,0.04121,0
63,0,0,0,0,0,0.03871,0
64,0,0,0,0,0,0.04094,0
65,0,0,0,0,0,0.03949,0
66,0,0,0,0,0,0.03525,0
67,0,0,0,0,0,0.04003,0
68,0,0,0,0,0,0.03670,0
69,0,0,0,0,0,0.03480,0
70,0,0,0,0,0,0.04041,0
71,0,0,0,0,0,0.04146,0
72,0,0,0,0,0,0.04158,0
73,0,0,0,0,0,0.04170,0
74,0,0,0,0,0,0.03420,0
75,0,0,0,0,0,0.03592,0
76,0,0,0,0,0,0.04592,0
77,0,0,0,0,0,0.03686,0
78,0,0,0,0,0,0.04183,0
79,0,0,0,0,0,0.03794,0
80,0,0,0,0,0,0.04024,0
81,0,0,0,0,0,0.03810,0
82,0,0,0,0,0,0.04168,0
83,0,0,0,0,0,0.04041,0
84,0,0,0,0,0,0.03866,0
85,0,0,0,0,0,0.03685,0
86,0,0,0,0,0,0.04080,0
87,0,0,0,0,0,0.03636,0
88,0,0,0,0,0,0.04128,0
89,0,0,0,0,0,0.04788,0
90,0,0,0,0,0,0.04405,0
91,0,0,0,0,0,0.04216,0
92,0,0,0,0,0,0.03974,0
93,0,0,0,0,0,0.03418,0
94,0,0,0,0,0,0.03603,0
95,0,0,0,0,0,0.04385,0
96,0,0,0,0,0,0.03763,0
97,0,0,0,0,0,0.03790,0
98,0,0,0,0,0,0.03950,0
99,0,0,0,0,0,0.03681,0
100,0,0,0,0,0,0.03632,0
101,0,0,0,0,0,0.03985,0
102,0,0,0,0,0,0.03733,0
103,0,0,0,0,0,0.03778,0
104,0,0,0,0,0,0.03766,0
105,0,0,0,0,0,0.04157,0
106,0,0,0,0,0,0.03930,0
107,0,0,0,0,0,0.03946,0
108,0,0,0,0,0,0.04179,0
109,0,0,0,0,0,0.03957,0
110,0,0,0,0,0,0.03917,0
111,0,0,0,0,0,0.04141,0
112,0,0,0,0,0,0.04200,0
113,0,0,0,0,0,0.03956,0
114,0,0,0,0,0,0.04024,0
115,0,0,0,0,0,0.03765,0
116,0,0,0,0,0,0.03742,0
117,0,0,0,0,0,0.04231,0
118,0,0,0,0,0,0.04133,0
119,0,0,0,0,0,0.04137,0
120,0,0,0,0,0,0.04084,0
121,0,0,0,0,0,0.04014,0
122,0,0,0,0,0,0.04209,0
123,0,0,0,0,0,0.04281,0
124,0,0,0,0,0,0.04273,0
125,0,0,0,0,0,0.03970,0
126,0,0,0,0,0,0.04416,0
127,0,0,0,0,0,0.04069,0
128,0,0,0,0,0,0.04190,0
129,0,0,0,0,0,0.04085,0
130,0,0,0,0,0,0.04074,0
131,0,0,0,0,0,0.03779,0
132,0,0,0,0,0,0.04210,0
133,0,0,0,0,0,0.04854,0
134,0,0,0,0,0,0.03888,0
135,0,0,0,0,0,0.04021,0
136,0,0,0,0,0,0.03866,0
137,0,0,0,0,0,0.03854,0
138,0,0,0,0,0,0.04463,0
139,0,0,0,0,0,0.03798,0
140,0,0,0,0,0,0.03858,0
141,0,0,0,0,0,0.03524,0
142,0,0,0,0,0,0.03773,0
143,0,0,0,0,0,0.03487,0
144,0,0,0,0,0,0.04190,0
145,0,0,0,0,0,0.04840,0
146,0,0,0,0,0,0.03890,0
147,0,0,0,0,0,0.03500,0
148,0,0,0,0,0,0.04270,0
149,0,0,0,0,0,0.03782,0
150,0,0,0,0,0,0.04390,0
151,0,0,0,0,0,0.03915,0
152,0,0,0,0,0,0.03810,0
153,0,0,0,0,0,0.03947,0
154,0,0,0,0,0,0.04227,0
155,0,0,0,0,0,0.03932,0
156,0,0,0,0,0,0.03851,0
157,0,0,0,0,0,0.03940,0
158,0,0,0,0,0,0.03618,0
159,0,0,0,0,0,0.04119,0
160,0,0,0,0,0,0.03464,0
161,0,0,0,0,0,0.03867,0
162,0,0,0,0,0,0.04228,0
163,0,0,0,0,0,0.04091,0
164,0,0,0,0,0,0.04177,0
165,0,0,0,0,0,0.03980,0
166,0,0,0,0,0,0.04351,0
167,0,0,0,0,0,0.04277,0
168,0,0,0,0,0,0.04134,0
169,0,0,0,0,0,0.04278,0
170,0,0,0,0,0,0.04225,0
171,0,0,0,0,0,0.03868,0
172,0,0,0,0,0,0.03597,0
173,0,0,0,0,0,0.04126,0
174,0,0,0,0,0,0.04164,0
175,0,0,0,0,0,0.04327,0
176,0,0,0,0,0,0.03719,0
177,0,0,0,0,0,0.03728,0
178,0,0,0,0,0,0.04138,0
179,0,0,0,0,0,0.03979,0
180,0,0,0,0,0,0.03434,0
181,0,0,0,0,0,0.04113,0
182,0,0,0,0,0,0.03444,0
183,0,0,0,0,0,0.03716,0
184,0,0,0,0,0,0.04406,0
185,0,0,0,0,0,0.04547,0
186,0,0,0,0,0,0.03635,0
187,0,0,0,0,0,0.03901,0
188,0,0,0,0,0,0.04013,0
189,0,0,0,0,0,0.04534,0
190,0,0,0,0,0,0.03852,0
191,0,0,0,0,0,0.03857,0
192,0,0,0,0,0,0.04465,0
193,0,0,0,0,0,0.03888,0
194,0,0,0,0,0,0.04217,0
195,0,0,0,0,0,0.03557,0
196,0,0,0,0,0,0.03949,0
197,0,0,0,0,0,0.03502,0
198,0,0,0,0,0,0.03683,0
199,0,0,0,0,0,0.04252,0
200,0,0,0,0,0,0.03985,0
201,0,0,0,0,0,0.03904,0
202,0,0,0,0,0,0.03775,0
203,0,0,0,0,0,0.03934,0
204,0,0,0,0,0,0.04090,0
205,0,0,0,0,0,0.04295,0
206,0,0,0,0,0,0.03212,0
207,0,0,0,0,0,0.03750,0
208,0,0,0,0,0,0.04048,0
209,0,0,0,0,0,0.03970,0
210,0,0,0,0,0,0.04121,0
211,0,0,0,0,0,0.04080,0
212,0,0,0,0,0,0.03909,0
213,0,0,0,0,0,0.03842,0
214,0,0,0,0,0,0.03926,0
215,0,0,0,0,0,0.04345,0
216,0,0,0,0,0,0.03780,0
217,0,0,0,0,0,0.03981,0
218,0,0,0,0,0,0.04055,0
219,0,0,0,0,0,0.04468,0
220,0,0,0,0,0,0.03910,0
221,0,0,0,0,0,0.04288,0
222,0,0,0,0,0,0.04370,0
223,0,0,0,0,0,0.03981,0
224,0,0,0,0,0,0.03937,0
225,0,0,0,0,0,0.03901,0
226,0,0,0,0,0,0.03923,0
227,0,0,0,0,0,0.04256,0
228,0,0,0,0,0,0.04069,0
229,0,0,0,0,0,0.04071,0
230,0,0,0,0,0,0.03662,0
231,0,0,0,0,0,0.03710,0
232,0,0,0,0,0,0.04643,0
233,0,0,0,0,0,0.03947,0
234,0,0,0,0,0,0.03768,0
235,0,0,0,0,0,0.04429,0
236,0,0,0,0,0,0.04085,0
237,0,0,0,0,0,0.04173,0
238,0,0,0,0,0,0.03959,0
239,0,0,0,0,0,0.03904,0
240,0,0,0,0,0,0.03949,0
241,0,0,0,0,0,0.03585,0
242,0,0,0,0,0,0.03974,0
243,0,0,0,0,0,0.04089,0
244,0,0,0,0,0,0.04555,0
245,0,0,0,0,0,0.04026,0
246,0,0,0,0,0,0.03300,0
247,0,0,0,0,0,0.03972,0
248,0,0,0,0,0,0.04822,0
249,0,0,0,0,0,0.04260,0
250,0,0,0,0,0,0.03757,0
251,0,0,0,0,0,0.04177,0
252,0,0,0,0,0,0.03777,0
253,0,0,0,0,0,0.03594,0
254,0,0,0,0,0,0.03895,0
255,0,0,0,0,0,0.04027,0
256,0,0,0,0,0,0.03438,0
257,0,0,0,0,0,0.03655,0
258,0,0,0,0,0,0.04003,0
259,0,0,0,0,0,0.03878,0
260,0,0,0,0,0,0.04118,0
261,0,0,0,0,0,0.03636,0
262,0,0,0,0,0,0.04214,0
