Messgeraet: Beispiel Potentiostat
Messmethode: DCR
Slewrate: 10 mV/s

Number	Time[s]	U[V]	I[A]
1	0.00	-0.150000	-0.096128
2	0.10	-0.148997	-0.096054
3	0.20	-0.147993	-0.094944
4	0.30	-0.146990	-0.094700
5	0.40	-0.145987	-0.094748
6	0.50	-0.144983	-0.094134
7	0.60	-0.143980	-0.093197
8	0.70	-0.142977	-0.091605
9	0.80	-0.141973	-0.091122
10	0.90	-0.140970	-0.090371
11	1.00	-0.139967	-0.089663
12	1.10	-0.138963	-0.090118
13	1.20	-0.137960	-0.089407
14	1.30	-0.136957	-0.088995
15	1.40	-0.135953	-0.087264
16	1.50	-0.134950	-0.086450
17	1.60	-0.133946	-0.086567
18	1.70	-0.132943	-0.085577
19	1.80	-0.131940	-0.085675
20	1.90	-0.130936	-0.083787
21	2.00	-0.129933	-0.083244
22	2.10	-0.128930	-0.082419
23	2.20	-0.127926	-0.082036
24	2.30	-0.126923	-0.081276
25	2.40	-0.125920	-0.081999
26	2.50	-0.124916	-0.080213
27	2.60	-0.123913	-0.080212
28	2.70	-0.122910	-0.078607
29	2.80	-0.121906	-0.078166
30	2.90	-0.120903	-0.077419
31	3.00	-0.119900	-0.076857
32	3.10	-0.118896	-0.077080
33	3.20	-0.117893	-0.075600
34	3.30	-0.116890	-0.076040
35	3.40	-0.115886	-0.074170
36	3.50	-0.114883	-0.073544
37	3.60	-0.113880	-0.073915
38	3.70	-0.112876	-0.072317
39	3.80	-0.111873	-0.072240
40	3.90	-0.110870	-0.071840
41	4.00	-0.109866	-0.070409
42	4.10	-0.108863	-0.070670
43	4.20	-0.107860	-0.070349
44	4.30	-0.106856	-0.069430
45	4.40	-0.105853	-0.068567
46	4.50	-0.104849	-0.067062
47	4.60	-0.103846	-0.066250
48	4.70	-0.102843	-0.066704
49	4.80	-0.101839	-0.065477
50	4.90	-0.100836	-0.065216
51	5.00	-0.099833	-0.063638
52	5.10	-0.098829	-0.063703
53	5.20	-0.097826	-0.062411
54	5.30	-0.096823	-0.063082
55	5.40	-0.095819	-0.061066
56	5.50	-0.094816	-0.061686
57	5.60	-0.093813	-0.059784
58	5.70	-0.092809	-0.060252
59	5.80	-0.091806	-0.059856
60	5.90	-0.090803	-0.058687
61	6.00	-0.089799	-0.057569
62	6.10	-0.088796	-0.057586
63	6.20	-0.087793	-0.056470
64	6.30	-0.086789	-0.055975
65	6.40	-0.085786	-0.055529
66	6.50	-0.084783	-0.054576
67	6.60	-0.083779	-0.054444
68	6.70	-0.082776	-0.053070
69	6.80	-0.081773	-0.053554
70	6.90	-0.080769	-0.051428
71	7.00	-0.079766	-0.051400
72	7.10	-0.078763	-0.050463
73	7.20	-0.077759	-0.049780
74	7.30	-0.076756	-0.049247
75	7.40	-0.075753	-0.049090
76	7.50	-0.074749	-0.048913
77	7.60	-0.073746	-0.047315
78	7.70	-0.072742	-0.047202
79	7.80	-0.071739	-0.046581
80	7.90	-0.070736	-0.045079
81	8.00	-0.069732	-0.044637
82	8.10	-0.068729	-0.044661
83	8.20	-0.067726	-0.043999
84	8.30	-0.066722	-0.043193
85	8.40	-0.065719	-0.042556
86	8.50	-0.064716	-0.042079
87	8.60	-0.063712	-0.041701
88	8.70	-0.062709	-0.040585
89	8.80	-0.061706	-0.039106
90	8.90	-0.060702	-0.038879
91	9.00	-0.059699	-0.037871
92	9.10	-0.058696	-0.037683
93	9.20	-0.057692	-0.037539
94	9.30	-0.056689	-0.036497
95	9.40	-0.055686	-0.036726
96	9.50	-0.054682	-0.035620
97	9.60	-0.053679	-0.034744
98	9.70	-0.052676	-0.033856
99	9.80	-0.051672	-0.033089
100	9.90	-0.050669	-0.032746
101	10.00	-0.049666	-0.032135
102	10.10	-0.048662	-0.031853
103	10.20	-0.047659	-0.030791
104	10.30	-0.046656	-0.029458
105	10.40	-0.045652	-0.028979
106	10.50	-0.044649	-0.029334
107	10.60	-0.043645	-0.028823
108	10.70	-0.042642	-0.027486
109	10.80	-0.041639	-0.026651
110	10.90	-0.040635	-0.026480
111	11.00	-0.039632	-0.025060
112	11.10	-0.038629	-0.024520
113	11.20	-0.037625	-0.023998
114	11.30	-0.036622	-0.024068
115	11.40	-0.035619	-0.023461
116	11.50	-0.034615	-0.023093
117	11.60	-0.033612	-0.022093
118	11.70	-0.032609	-0.021078
119	11.80	-0.031605	-0.019831
120	11.90	-0.030602	-0.020427
121	12.00	-0.029599	-0.019233
122	12.10	-0.028595	-0.018241
123	12.20	-0.027592	-0.018290
124	12.30	-0.026589	-0.016840
125	12.40	-0.025585	-0.016516
126	12.50	-0.024582	-0.016269
127	12.60	-0.023579	-0.014962
128	12.70	-0.022575	-0.015356
129	12.80	-0.021572	-0.013516
130	12.90	-0.020569	-0.012838
131	13.00	-0.019565	-0.013252
132	13.10	-0.018562	-0.012095
133	13.20	-0.017559	-0.011847
134	13.30	-0.016555	-0.009948
135	13.40	-0.015552	-0.010005
136	13.50	-0.014548	-0.010106
137	13.60	-0.013545	-0.009140
138	13.70	-0.012542	-0.007534
139	13.80	-0.011538	-0.007514
140	13.90	-0.010535	-0.006315
141	14.00	-0.009532	-0.005881
142	14.10	-0.008528	-0.004722
143	14.20	-0.007525	-0.004702
144	14.30	-0.006522	-0.003488
145	14.40	-0.005518	-0.002934
146	14.50	-0.004515	-0.002733
147	14.60	-0.003512	-0.001915
148	14.70	-0.002508	-0.001611
149	14.80	-0.001505	-0.000442
150	14.90	-0.000502	-0.000247
151	15.00	0.000502	0.000959
152	15.10	0.001505	0.001361
153	15.20	0.002508	0.001578
154	15.30	0.003512	0.001880
155	15.40	0.004515	0.002509
156	15.50	0.005518	0.003781
157	15.60	0.006522	0.004633
158	15.70	0.007525	0.004889
159	15.80	0.008528	0.005705
160	15.90	0.009532	0.005789
161	16.00	0.010535	0.006121
162	16.10	0.011538	0.007101
163	16.20	0.012542	0.007726
164	16.30	0.013545	0.008450
165	16.40	0.014548	0.009450
166	16.50	0.015552	0.009455
167	16.60	0.016555	0.010251
168	16.70	0.017559	0.011638
169	16.80	0.018562	0.012306
170	16.90	0.019565	0.011925
171	17.00	0.020569	0.013122
172	17.10	0.021572	0.013986
173	17.20	0.022575	0.014430
174	17.30	0.023579	0.014743
175	17.40	0.024582	0.015732
176	17.50	0.025585	0.017154
177	17.60	0.026589	0.017288
178	17.70	0.027592	0.018114
179	17.80	0.028595	0.019019
180	17.90	0.029599	0.019521
181	18.00	0.030602	0.019552
182	18.10	0.031605	0.019600
183	18.20	0.032609	0.020801
184	18.30	0.033612	0.022091
185	18.40	0.034615	0.022898
186	18.50	0.035619	0.023705
187	18.60	0.036622	0.023498
188	18.70	0.037625	0.024670
189	18.80	0.038629	0.024996
190	18.90	0.039632	0.025734
191	19.00	0.040635	0.025769
192	19.10	0.041639	0.026415
193	19.20	0.042642	0.027408
194	19.30	0.043645	0.027405
195	19.40	0.044649	0.028544
196	19.50	0.045652	0.029740
197	19.60	0.046656	0.029947
198	19.70	0.047659	0.030212
199	19.80	0.048662	0.031343
200	19.90	0.049666	0.031446
201	20.00	0.050669	0.032885
202	20.10	0.051672	0.032580
203	20.20	0.052676	0.033815
204	20.30	0.053679	0.034735
205	20.40	0.054682	0.034522
206	20.50	0.055686	0.036155
207	20.60	0.056689	0.035991
208	20.70	0.057692	0.037160
209	20.80	0.058696	0.037149
210	20.90	0.059699	0.038322
211	21.00	0.060702	0.038701
212	21.10	0.061706	0.039533
213	21.20	0.062709	0.040875
214	21.30	0.063712	0.040911
215	21.40	0.064716	0.042155
216	21.50	0.065719	0.042930
217	21.60	0.066722	0.042650
218	21.70	0.067726	0.043025
219	21.80	0.068729	0.043572
220	21.90	0.069732	0.045052
221	22.00	0.070736	0.046436
222	22.10	0.071739	0.046043
223	22.20	0.072742	0.047171
224	22.30	0.073746	0.048028
225	22.40	0.074749	0.048468
226	22.50	0.075753	0.049279
227	22.60	0.076756	0.050239
228	22.70	0.077759	0.049686
229	22.80	0.078763	0.050047
230	22.90	0.079766	0.050906
231	23.00	0.080769	0.051511
232	23.10	0.081773	0.053028
233	23.20	0.082776	0.053506
234	23.30	0.083779	0.053600
235	23.40	0.084783	0.055018
236	23.50	0.085786	0.055773
237	23.60	0.086789	0.055462
238	23.70	0.087793	0.056812
239	23.80	0.088796	0.057684
240	23.90	0.089799	0.057318
241	24.00	0.090803	0.059093
242	24.10	0.091806	0.059973
243	24.20	0.092809	0.059250
244	24.30	0.093813	0.059765
245	24.40	0.094816	0.060871
246	24.50	0.095819	0.062103
247	24.60	0.096823	0.063199
248	24.70	0.097826	0.062948
249	24.80	0.098829	0.064105
250	24.90	0.099833	0.063730
251	25.00	0.100836	0.065361
252	25.10	0.101839	0.065906
253	25.20	0.102843	0.065713
254	25.30	0.103846	0.067433
255	25.40	0.104849	0.068205
256	25.50	0.105853	0.068453
257	25.60	0.106856	0.068333
258	25.70	0.107860	0.070361
259	25.80	0.108863	0.070686
260	25.90	0.109866	0.070637
261	26.00	0.110870	0.071414
262	26.10	0.111873	0.071969
263	26.20	0.112876	0.072833
264	26.30	0.113880	0.073217
265	26.40	0.114883	0.074677
266	26.50	0.115886	0.075281
267	26.60	0.116890	0.074782
268	26.70	0.117893	0.076797
269	26.80	0.118896	0.076924
270	26.90	0.119900	0.077881
271	27.00	0.120903	0.078334
272	27.10	0.121906	0.078546
273	27.20	0.122910	0.079671
274	27.30	0.123913	0.080689
275	27.40	0.124916	0.080223
276	27.50	0.125920	0.081732
277	27.60	0.126923	0.081947
278	27.70	0.127926	0.082507
279	27.80	0.128930	0.083077
280	27.90	0.129933	0.084197
281	28.00	0.130936	0.084105
282	28.10	0.131940	0.085685
283	28.20	0.132943	0.086299
284	28.30	0.133946	0.085756
285	28.40	0.134950	0.087675
286	28.50	0.135953	0.087302
287	28.60	0.136957	0.088303
288	28.70	0.137960	0.089183
289	28.80	0.138963	0.089460
290	28.90	0.139967	0.089547
291	29.00	0.140970	0.091510
292	29.10	0.141973	0.091087
293	29.20	0.142977	0.091782
294	29.30	0.143980	0.093367
295	29.40	0.144983	0.093282
296	29.50	0.145987	0.094793
297	29.60	0.146990	0.095154
298	29.70	0.147993	0.095122
299	29.80	0.148997	0.095343
300	29.90	0.150000	0.097491
